;Mmsi;Name;Type;Length;Width;Draught
1;249976000;Sea Queen Ii;Cargo;190;32;12.3
2;636015208;Parisiana;Cargo;190;29;9.0
3;357305000;Bianco Dan;Cargo;190;33;6.5
4;236111916;Msc Curitiba;Cargo;294;32;12.8
5;247298100;Giannutri;Cargo;188;32;6.9
6;636012477;Mv Coppersmith;Cargo;270;44;9.5
7;229396000;Js Pomerol;Cargo;190;32;12.4
8;309839000;Celestine River;Tanker;290;50;11.25
9;636012750;Uruguay Star;Cargo;180;20;8.2
10;538003015;Genco Pyrenees;Cargo;190;32;12.1
11;373841000;Corebest Ol;Cargo;120;20;7.8
